"Office Location","Activity Type","Site Name","Pollution Level Detected"
Darwin,"Noise Level Measurement","Braye Park",497.25
Hobart,"Soil Quality Test","Richley Reserve",497.21
"Gold Coast","Soil Quality Test","King Edward Park",497.21
Newcastle,"Water Quality Test","Lambton Park",497.2
Newcastle,"Soil Quality Test","Watagan Mountains",497.16
Melbourne,"Water Quality Test","Croudace Bay Park",497.13
Hobart,"Water Quality Test","Warners Bay Foreshore",497.08
Adelaide,"Soil Quality Test","Braye Park",497.06
Adelaide,"Noise Level Measurement","Toronto Foreshore",497.03
Melbourne,"Soil Quality Test","Watagan Mountains",497.03
Perth,"Water Quality Test","Waratah Park",496.99
Sydney,"Air Quality Check","Awaba State Forest",496.97
Brisbane,"Air Quality Check","Braye Park",496.96
Perth,"Air Quality Check","Glenrock State Conservation Area",496.96
Canberra,"Water Quality Test","Glenrock State Conservation Area",496.89
Adelaide,"Water Quality Test","Belmont Wetlands State Park",496.88
Darwin,"Noise Level Measurement","Merewether Beach",496.88
Canberra,"Noise Level Measurement","Jesmond Park",496.86
Melbourne,"Water Quality Test","Glenrock State Conservation Area",496.86
Brisbane,"Soil Quality Test","Belmont Wetlands State Park",496.84
Melbourne,"Soil Quality Test","Heaton State Forest",496.84
Brisbane,"Soil Quality Test","Belmont Wetlands State Park",496.76
"Gold Coast","Air Quality Check","Hunter Wetlands Centre",496.73
Darwin,"Noise Level Measurement","Awaba State Forest",496.71
Adelaide,"Noise Level Measurement","Redhead Beach",496.71
Newcastle,"Soil Quality Test","Jesmond Park",496.69
Canberra,"Noise Level Measurement","Richley Reserve",496.68
"Gold Coast","Noise Level Measurement","Lambton Park",496.63
"Gold Coast","Noise Level Measurement","Braye Park",496.43
Darwin,"Soil Quality Test","Braye Park",496.32
Adelaide,"Soil Quality Test","Toronto Foreshore",496.31
Perth,"Air Quality Check","Warners Bay Foreshore",496.27
Darwin,"Water Quality Test","Lambton Park",496.25
Canberra,"Air Quality Check","Waratah Park",496.21
Hobart,"Air Quality Check","Charlestown Park",496.18
Melbourne,"Noise Level Measurement","Glenrock State Conservation Area",496.13
Hobart,"Water Quality Test","Watagan Mountains",496.12
Melbourne,"Air Quality Check","Waratah Park",496.12
Canberra,"Soil Quality Test","Richley Reserve",496.1
"Gold Coast","Air Quality Check","Braye Park",496.09
Brisbane,"Soil Quality Test","Lambton Park",496.07
Sydney,"Soil Quality Test","Toronto Foreshore",496.06
Hobart,"Soil Quality Test","Glenrock State Conservation Area",496.06
Adelaide,"Air Quality Check","Warners Bay Foreshore",496.05
Newcastle,"Soil Quality Test","Waratah Park",496.05
"Gold Coast","Air Quality Check","King Edward Park",496.03
Canberra,"Water Quality Test","Heaton State Forest",495.93
"Gold Coast","Soil Quality Test","Jesmond Park",495.85
Brisbane,"Air Quality Check","Awaba State Forest",495.77
Sydney,"Noise Level Measurement","Braye Park",495.7
Perth,"Water Quality Test","Blackbutt Nature Reserve",495.65
Adelaide,"Air Quality Check","Belmont Wetlands State Park",495.63
"Gold Coast","Water Quality Test","Toronto Foreshore",495.62
Adelaide,"Noise Level Measurement","Hunter Wetlands Centre",495.58
Melbourne,"Water Quality Test","Richley Reserve",495.56
Melbourne,"Soil Quality Test","Newcastle Beach",495.52
Melbourne,"Noise Level Measurement","Jesmond Park",495.51
Hobart,"Air Quality Check","Charlestown Park",495.45
Newcastle,"Noise Level Measurement","Croudace Bay Park",495.37
Perth,"Air Quality Check","Heaton State Forest",495.31
Perth,"Water Quality Test","Charlestown Park",495.25
"Gold Coast","Air Quality Check","Warners Bay Foreshore",495.24
Newcastle,"Water Quality Test","Warners Bay Foreshore",495.22
Melbourne,"Soil Quality Test","Jesmond Park",495.2
Brisbane,"Noise Level Measurement","Toronto Foreshore",495.18
Sydney,"Noise Level Measurement","Toronto Foreshore",495.18
Newcastle,"Soil Quality Test","Newcastle Beach",495.07
Brisbane,"Water Quality Test","Merewether Beach",495.06
Perth,"Water Quality Test","Charlestown Park",495.03
Sydney,"Soil Quality Test","King Edward Park",494.96
Perth,"Air Quality Check","Warners Bay Foreshore",494.95
Melbourne,"Noise Level Measurement","Glenrock State Conservation Area",494.93
Adelaide,"Noise Level Measurement","Toronto Foreshore",494.88
Canberra,"Air Quality Check","Heaton State Forest",494.87
Adelaide,"Soil Quality Test","Merewether Beach",494.76
Darwin,"Air Quality Check","Speers Point Park",494.74
Adelaide,"Water Quality Test","Redhead Beach",494.72
Brisbane,"Soil Quality Test","King Edward Park",494.7
"Gold Coast","Noise Level Measurement","King Edward Park",494.7
"Gold Coast","Soil Quality Test","Newcastle Beach",494.68
Canberra,"Soil Quality Test","Blackbutt Nature Reserve",494.62
Hobart,"Water Quality Test","Newcastle Beach",494.6
Brisbane,"Noise Level Measurement","Speers Point Park",494.58
Sydney,"Air Quality Check","Awaba State Forest",494.58
Melbourne,"Soil Quality Test","Waratah Park",494.5
Sydney,"Water Quality Test","Awaba State Forest",494.46
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",494.36
Canberra,"Soil Quality Test","Warners Bay Foreshore",494.35
Hobart,"Air Quality Check","Nobbys Beach",494.34
Brisbane,"Soil Quality Test","Mount Sugarloaf",494.32
Adelaide,"Air Quality Check","Braye Park",494.31
Brisbane,"Air Quality Check","Redhead Beach",494.26
Melbourne,"Soil Quality Test","Richley Reserve",494.22
Sydney,"Air Quality Check","Awaba State Forest",494.18
Adelaide,"Noise Level Measurement","Awaba State Forest",494.17
Darwin,"Soil Quality Test","Mount Sugarloaf",494.17
Melbourne,"Soil Quality Test","Warners Bay Foreshore",494.16
Perth,"Air Quality Check","Warners Bay Foreshore",494.14
Adelaide,"Soil Quality Test","Redhead Beach",494.13
"Gold Coast","Noise Level Measurement","Braye Park",494.13
Brisbane,"Soil Quality Test","King Edward Park",494.12
Brisbane,"Soil Quality Test","King Edward Park",494.1
Perth,"Soil Quality Test","Richley Reserve",494.09
Canberra,"Noise Level Measurement","Jesmond Park",494.01
"Gold Coast","Soil Quality Test","Lambton Park",493.89
Canberra,"Soil Quality Test","Charlestown Park",493.88
"Gold Coast","Noise Level Measurement","Belmont Wetlands State Park",493.84
Hobart,"Air Quality Check","Warners Bay Foreshore",493.83
Perth,"Noise Level Measurement","Warners Bay Foreshore",493.8
Brisbane,"Soil Quality Test","Toronto Foreshore",493.78
Perth,"Noise Level Measurement","Warners Bay Foreshore",493.65
Sydney,"Noise Level Measurement","King Edward Park",493.65
Melbourne,"Water Quality Test","Heaton State Forest",493.61
Darwin,"Air Quality Check","Speers Point Park",493.61
Newcastle,"Noise Level Measurement","King Edward Park",493.6
Darwin,"Water Quality Test","Newcastle Beach",493.56
Adelaide,"Air Quality Check","Lambton Park",493.49
Darwin,"Soil Quality Test","King Edward Park",493.48
Sydney,"Soil Quality Test","King Edward Park",493.42
Perth,"Noise Level Measurement","Glenrock State Conservation Area",493.42
Canberra,"Water Quality Test","Jesmond Park",493.39
Melbourne,"Air Quality Check","King Edward Park",493.37
"Gold Coast","Air Quality Check","Speers Point Park",493.28
Melbourne,"Water Quality Test","Watagan Mountains",493.24
Brisbane,"Noise Level Measurement","Jesmond Park",493.21
Melbourne,"Soil Quality Test","Croudace Bay Park",493.21
Adelaide,"Noise Level Measurement","King Edward Park",493.13
Perth,"Air Quality Check","Croudace Bay Park",493.12
Sydney,"Soil Quality Test","Awaba State Forest",493.06
"Gold Coast","Soil Quality Test","King Edward Park",493.05
Melbourne,"Soil Quality Test","Warners Bay Foreshore",492.97
Darwin,"Water Quality Test","King Edward Park",492.94
Canberra,"Soil Quality Test","Waratah Park",492.92
Perth,"Air Quality Check","Glenrock State Conservation Area",492.91
"Gold Coast","Water Quality Test","Toronto Foreshore",492.89
Hobart,"Water Quality Test","Jesmond Park",492.76
Adelaide,"Noise Level Measurement","Belmont Wetlands State Park",492.67
Hobart,"Water Quality Test","Croudace Bay Park",492.65
Darwin,"Water Quality Test","Toronto Foreshore",492.64
Hobart,"Air Quality Check","Charlestown Park",492.61
Darwin,"Soil Quality Test","Braye Park",492.6
Sydney,"Noise Level Measurement","Mount Sugarloaf",492.6
Brisbane,"Noise Level Measurement","King Edward Park",492.59
Sydney,"Water Quality Test","King Edward Park",492.57
Sydney,"Noise Level Measurement","Speers Point Park",492.54
Perth,"Soil Quality Test","Heaton State Forest",492.54
Adelaide,"Air Quality Check","King Edward Park",492.53
Darwin,"Air Quality Check","King Edward Park",492.52
"Gold Coast","Noise Level Measurement","Redhead Beach",492.51
Perth,"Noise Level Measurement","Croudace Bay Park",492.48
Sydney,"Air Quality Check","Toronto Foreshore",492.47
Darwin,"Air Quality Check","Speers Point Park",492.47
Newcastle,"Soil Quality Test","Waratah Park",492.45
Hobart,"Noise Level Measurement","Watagan Mountains",492.45
Newcastle,"Air Quality Check","Warners Bay Foreshore",492.41
Sydney,"Water Quality Test","Toronto Foreshore",492.29
Hobart,"Noise Level Measurement","Warners Bay Foreshore",492.25
Melbourne,"Soil Quality Test","Blackbutt Nature Reserve",492.24
"Gold Coast","Air Quality Check","Belmont Wetlands State Park",492.2
Sydney,"Noise Level Measurement","Mount Sugarloaf",492.2
"Gold Coast","Noise Level Measurement","Redhead Beach",492.16
Sydney,"Air Quality Check","Redhead Beach",492.12
Hobart,"Soil Quality Test","Waratah Park",492.11
Melbourne,"Water Quality Test","Croudace Bay Park",492.1
Adelaide,"Soil Quality Test","Mount Sugarloaf",492.02
Brisbane,"Soil Quality Test","Belmont Wetlands State Park",491.97
Darwin,"Water Quality Test","Redhead Beach",491.93
Perth,"Soil Quality Test","Waratah Park",491.9
Adelaide,"Water Quality Test","Braye Park",491.85
Hobart,"Air Quality Check","Glenrock State Conservation Area",491.85
Newcastle,"Noise Level Measurement","Awaba State Forest",491.84
Darwin,"Noise Level Measurement","Braye Park",491.79
Sydney,"Soil Quality Test","Belmont Wetlands State Park",491.76
Brisbane,"Soil Quality Test","Redhead Beach",491.76
Canberra,"Air Quality Check","Waratah Park",491.72
Canberra,"Water Quality Test","Charlestown Park",491.7
Newcastle,"Soil Quality Test","Blackbutt Nature Reserve",491.67
Perth,"Air Quality Check","Heaton State Forest",491.59
"Gold Coast","Soil Quality Test","Merewether Beach",491.56
Melbourne,"Water Quality Test","Watagan Mountains",491.5
Canberra,"Water Quality Test","Glenrock State Conservation Area",491.45
Melbourne,"Air Quality Check","Lambton Park",491.42
"Gold Coast","Soil Quality Test","Toronto Foreshore",491.39
Perth,"Noise Level Measurement","Waratah Park",491.39
Canberra,"Air Quality Check","Nobbys Beach",491.34
Canberra,"Noise Level Measurement","Blackbutt Nature Reserve",491.3
Brisbane,"Air Quality Check","Belmont Wetlands State Park",491.3
Sydney,"Water Quality Test","Braye Park",491.25
Darwin,"Water Quality Test","Lambton Park",491.23
Darwin,"Water Quality Test","Hunter Wetlands Centre",491.21
Newcastle,"Soil Quality Test","Heaton State Forest",491.2
"Gold Coast","Soil Quality Test","Mount Sugarloaf",491.18
Canberra,"Water Quality Test","Richley Reserve",491.12
Newcastle,"Air Quality Check","Croudace Bay Park",491.12
Perth,"Water Quality Test","Mount Sugarloaf",491.1
"Gold Coast","Soil Quality Test","King Edward Park",491.07
Hobart,"Air Quality Check","Watagan Mountains",491
Hobart,"Water Quality Test","Charlestown Park",490.99
Newcastle,"Air Quality Check","Watagan Mountains",490.96
Perth,"Water Quality Test","Nobbys Beach",490.96
Sydney,"Water Quality Test","King Edward Park",490.93
Darwin,"Air Quality Check","King Edward Park",490.93
Melbourne,"Soil Quality Test","Warners Bay Foreshore",490.91
Darwin,"Soil Quality Test","Toronto Foreshore",490.85
Melbourne,"Noise Level Measurement","Heaton State Forest",490.83
Melbourne,"Soil Quality Test","Watagan Mountains",490.77
Sydney,"Noise Level Measurement","Redhead Beach",490.7
Canberra,"Noise Level Measurement","Newcastle Beach",490.69
Hobart,"Noise Level Measurement","Richley Reserve",490.66
Sydney,"Soil Quality Test","Merewether Beach",490.51
Canberra,"Soil Quality Test","Watagan Mountains",490.47
Sydney,"Water Quality Test","Toronto Foreshore",490.44
Melbourne,"Air Quality Check","Warners Bay Foreshore",490.43
Canberra,"Noise Level Measurement","Blackbutt Nature Reserve",490.41
Newcastle,"Air Quality Check","Waratah Park",490.38
Darwin,"Air Quality Check","Merewether Beach",490.33
Darwin,"Water Quality Test","Speers Point Park",490.23
"Gold Coast","Soil Quality Test","Redhead Beach",490.21
Hobart,"Air Quality Check","Newcastle Beach",490.2
Canberra,"Soil Quality Test","Watagan Mountains",490.18
Sydney,"Water Quality Test","King Edward Park",490.15
Sydney,"Water Quality Test","Lambton Park",490.09
Adelaide,"Noise Level Measurement","Awaba State Forest",490.01
Sydney,"Noise Level Measurement","Mount Sugarloaf",489.99
Melbourne,"Soil Quality Test","Waratah Park",489.97
Sydney,"Water Quality Test","King Edward Park",489.89
"Gold Coast","Soil Quality Test","Braye Park",489.83
Newcastle,"Soil Quality Test","Speers Point Park",489.82
Brisbane,"Soil Quality Test","King Edward Park",489.78
Hobart,"Noise Level Measurement","Croudace Bay Park",489.77
Brisbane,"Water Quality Test","Toronto Foreshore",489.77
Darwin,"Air Quality Check","Redhead Beach",489.76
Hobart,"Water Quality Test","Newcastle Beach",489.71
Sydney,"Air Quality Check","Merewether Beach",489.64
Adelaide,"Water Quality Test","Newcastle Beach",489.6
Brisbane,"Water Quality Test","Merewether Beach",489.6
Perth,"Noise Level Measurement","Charlestown Park",489.57
Darwin,"Air Quality Check","Hunter Wetlands Centre",489.56
Hobart,"Air Quality Check","Richley Reserve",489.56
Canberra,"Soil Quality Test","Blackbutt Nature Reserve",489.55
Canberra,"Noise Level Measurement","Waratah Park",489.55
Darwin,"Air Quality Check","King Edward Park",489.55
Adelaide,"Air Quality Check","Blackbutt Nature Reserve",489.53
Perth,"Noise Level Measurement","Glenrock State Conservation Area",489.53
Hobart,"Soil Quality Test","Blackbutt Nature Reserve",489.52
Sydney,"Water Quality Test","Lambton Park",489.48
Adelaide,"Soil Quality Test","Mount Sugarloaf",489.4
Melbourne,"Noise Level Measurement","Warners Bay Foreshore",489.32
Newcastle,"Air Quality Check","Blackbutt Nature Reserve",489.24
Darwin,"Water Quality Test","Toronto Foreshore",489.24
Hobart,"Water Quality Test","Waratah Park",489.2
Perth,"Noise Level Measurement","Waratah Park",489.2
Canberra,"Soil Quality Test","Warners Bay Foreshore",489.18
Newcastle,"Water Quality Test","Glenrock State Conservation Area",489.18
Perth,"Water Quality Test","Jesmond Park",489.11
Perth,"Water Quality Test","Blackbutt Nature Reserve",489.1
Melbourne,"Noise Level Measurement","Croudace Bay Park",489.1
Adelaide,"Noise Level Measurement","Nobbys Beach",489.06
Darwin,"Noise Level Measurement","Mount Sugarloaf",489.03
Hobart,"Noise Level Measurement","Watagan Mountains",488.99
Darwin,"Soil Quality Test","Lambton Park",488.99
Canberra,"Water Quality Test","Heaton State Forest",488.98
Brisbane,"Soil Quality Test","Redhead Beach",488.94
Darwin,"Air Quality Check","Mount Sugarloaf",488.91
Hobart,"Noise Level Measurement","Nobbys Beach",488.91
Melbourne,"Water Quality Test","Richley Reserve",488.88
Canberra,"Soil Quality Test","Waratah Park",488.86
Perth,"Noise Level Measurement","Newcastle Beach",488.84
Brisbane,"Air Quality Check","Lambton Park",488.77
Perth,"Soil Quality Test","Jesmond Park",488.74
Sydney,"Air Quality Check","Speers Point Park",488.63
Hobart,"Water Quality Test","Waratah Park",488.61
Sydney,"Noise Level Measurement","Lambton Park",488.61
Melbourne,"Noise Level Measurement","Heaton State Forest",488.55
"Gold Coast","Air Quality Check","Awaba State Forest",488.49
Brisbane,"Water Quality Test","Lambton Park",488.49
Brisbane,"Soil Quality Test","Lambton Park",488.42
Hobart,"Soil Quality Test","Richley Reserve",488.39
Melbourne,"Air Quality Check","Jesmond Park",488.36
Adelaide,"Water Quality Test","Merewether Beach",488.35
Hobart,"Air Quality Check","Richley Reserve",488.33
Sydney,"Water Quality Test","Hunter Wetlands Centre",488.26
Perth,"Air Quality Check","Glenrock State Conservation Area",488.25
Melbourne,"Air Quality Check","Waratah Park",488.22
Newcastle,"Air Quality Check","Nobbys Beach",488.17
Canberra,"Air Quality Check","Watagan Mountains",488.15
Perth,"Air Quality Check","Watagan Mountains",488.15
"Gold Coast","Air Quality Check","Lambton Park",488.01
Perth,"Air Quality Check","Watagan Mountains",487.99
Newcastle,"Soil Quality Test","Watagan Mountains",487.98
Perth,"Soil Quality Test","Blackbutt Nature Reserve",487.94
Hobart,"Noise Level Measurement","Watagan Mountains",487.93
"Gold Coast","Noise Level Measurement","Toronto Foreshore",487.9
Brisbane,"Noise Level Measurement","Heaton State Forest",487.8
Brisbane,"Soil Quality Test","Redhead Beach",487.78
Melbourne,"Water Quality Test","Jesmond Park",487.77
Melbourne,"Soil Quality Test","Jesmond Park",487.75
Perth,"Air Quality Check","Jesmond Park",487.74
Adelaide,"Soil Quality Test","Mount Sugarloaf",487.73
Hobart,"Soil Quality Test","Charlestown Park",487.71
Melbourne,"Air Quality Check","Nobbys Beach",487.69
Adelaide,"Air Quality Check","Hunter Wetlands Centre",487.63
"Gold Coast","Water Quality Test","Toronto Foreshore",487.59
Melbourne,"Noise Level Measurement","Nobbys Beach",487.58
Brisbane,"Air Quality Check","Awaba State Forest",487.57
Perth,"Air Quality Check","Richley Reserve",487.54
Canberra,"Noise Level Measurement","Croudace Bay Park",487.47
Hobart,"Water Quality Test","Blackbutt Nature Reserve",487.47
Brisbane,"Air Quality Check","Watagan Mountains",487.45
Darwin,"Soil Quality Test","Speers Point Park",487.45
Darwin,"Noise Level Measurement","Lambton Park",487.43
Newcastle,"Noise Level Measurement","Watagan Mountains",487.4
Canberra,"Air Quality Check","Croudace Bay Park",487.39
Adelaide,"Soil Quality Test","King Edward Park",487.32
Darwin,"Water Quality Test","Toronto Foreshore",487.32
Adelaide,"Soil Quality Test","Hunter Wetlands Centre",487.31
Hobart,"Noise Level Measurement","Blackbutt Nature Reserve",487.3
Newcastle,"Soil Quality Test","Blackbutt Nature Reserve",487.29
Brisbane,"Water Quality Test","Mount Sugarloaf",487.28
Perth,"Air Quality Check","Jesmond Park",487.25
Darwin,"Noise Level Measurement","Belmont Wetlands State Park",487.25
Darwin,"Water Quality Test","Lambton Park",487.11
"Gold Coast","Soil Quality Test","Braye Park",487.07
Canberra,"Water Quality Test","Glenrock State Conservation Area",487.02
Hobart,"Water Quality Test","Warners Bay Foreshore",487.01
Adelaide,"Water Quality Test","Awaba State Forest",486.93
Newcastle,"Soil Quality Test","Jesmond Park",486.92
Perth,"Noise Level Measurement","Watagan Mountains",486.91
Hobart,"Noise Level Measurement","Nobbys Beach",486.91
Melbourne,"Air Quality Check","Blackbutt Nature Reserve",486.88
Brisbane,"Water Quality Test","King Edward Park",486.82
Canberra,"Air Quality Check","Nobbys Beach",486.8
Melbourne,"Water Quality Test","Waratah Park",486.78
Melbourne,"Water Quality Test","Nobbys Beach",486.72
Hobart,"Water Quality Test","Redhead Beach",486.69
Darwin,"Air Quality Check","Mount Sugarloaf",486.66
Canberra,"Air Quality Check","Newcastle Beach",486.63
Darwin,"Noise Level Measurement","Mount Sugarloaf",486.63
Darwin,"Soil Quality Test","Braye Park",486.47
Darwin,"Water Quality Test","Toronto Foreshore",486.43
Canberra,"Soil Quality Test","Charlestown Park",486.43
Melbourne,"Noise Level Measurement","Glenrock State Conservation Area",486.42
Melbourne,"Water Quality Test","Jesmond Park",486.41
"Gold Coast","Soil Quality Test","Toronto Foreshore",486.38
Adelaide,"Noise Level Measurement","Mount Sugarloaf",486.25
Adelaide,"Air Quality Check","Redhead Beach",486.19
Hobart,"Air Quality Check","Nobbys Beach",486.15
Sydney,"Soil Quality Test","Braye Park",486.01
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",485.96
Perth,"Air Quality Check","Warners Bay Foreshore",485.9
Brisbane,"Air Quality Check","King Edward Park",485.89
Hobart,"Soil Quality Test","Glenrock State Conservation Area",485.86
Newcastle,"Air Quality Check","Warners Bay Foreshore",485.86
Canberra,"Water Quality Test","Nobbys Beach",485.77
Perth,"Air Quality Check","Nobbys Beach",485.76
Melbourne,"Soil Quality Test","Hunter Wetlands Centre",485.68
Perth,"Noise Level Measurement","Charlestown Park",485.66
Hobart,"Noise Level Measurement","Jesmond Park",485.65
Newcastle,"Soil Quality Test","Awaba State Forest",485.61
Hobart,"Air Quality Check","Jesmond Park",485.52
Brisbane,"Noise Level Measurement","Richley Reserve",485.49
Adelaide,"Noise Level Measurement","Mount Sugarloaf",485.48
Hobart,"Soil Quality Test","Glenrock State Conservation Area",485.41
Sydney,"Air Quality Check","Lambton Park",485.41
Darwin,"Water Quality Test","Redhead Beach",485.39
Adelaide,"Soil Quality Test","Merewether Beach",485.39
"Gold Coast","Soil Quality Test","Merewether Beach",485.36
Brisbane,"Soil Quality Test","Awaba State Forest",485.34
Brisbane,"Water Quality Test","Merewether Beach",485.24
Hobart,"Water Quality Test","Waratah Park",485.21
Adelaide,"Soil Quality Test","Redhead Beach",485.16
Melbourne,"Noise Level Measurement","Jesmond Park",485.16
Sydney,"Air Quality Check","Toronto Foreshore",485.14
Hobart,"Air Quality Check","Richley Reserve",485.14
Hobart,"Water Quality Test","Glenrock State Conservation Area",485.14
Adelaide,"Air Quality Check","Speers Point Park",485.08
Melbourne,"Noise Level Measurement","Jesmond Park",485.06
Perth,"Soil Quality Test","Blackbutt Nature Reserve",485.04
Newcastle,"Air Quality Check","Heaton State Forest",485.01
Adelaide,"Soil Quality Test","Mount Sugarloaf",485.01
Hobart,"Noise Level Measurement","Jesmond Park",485
Sydney,"Noise Level Measurement","Braye Park",484.98
Darwin,"Soil Quality Test","King Edward Park",484.94
Brisbane,"Air Quality Check","Braye Park",484.91
Sydney,"Water Quality Test","King Edward Park",484.88
Melbourne,"Water Quality Test","Waratah Park",484.87
Brisbane,"Soil Quality Test","Heaton State Forest",484.85
Canberra,"Air Quality Check","Glenrock State Conservation Area",484.84
Brisbane,"Water Quality Test","Speers Point Park",484.76
Perth,"Noise Level Measurement","Newcastle Beach",484.75
Hobart,"Noise Level Measurement","Charlestown Park",484.71
Melbourne,"Air Quality Check","Nobbys Beach",484.66
Melbourne,"Noise Level Measurement","Watagan Mountains",484.63
Perth,"Water Quality Test","Heaton State Forest",484.57
